repo,stars,forks,dependencies,dev_dependencies,vulnerable_deps,cves,path_usado
GitSquared/edex-ui,43529,2881,24,0,22,"['GHSA-qrmh-qg46-72pp', 'MAL-2025-46985', 'GHSA-mwcw-c2x4-8c55', 'GHSA-qrpm-p2h7-hrv2', 'GHSA-7jg2-jgv3-fmr4', 'GHSA-wgrm-67xf-hhpq', 'GHSA-g662-qq45-ppwm', 'GHSA-2m8v-572m-ff2v', 'GHSA-4v2w-h9jm-mqjg', 'GHSA-8j36-q8x7-pm6q', 'GHSA-94xh-2fmc-xf5j', 'GHSA-cvv5-9h9w-qp2m', 'GHSA-fj59-f6c3-3vw4', 'GHSA-gx6r-qc2v-3p3v', 'GHSA-jff2-qjw8-5476', 'GHSA-m57p-p67h-mq74', 'GHSA-2mhh-w6q8-5hxw', 'GHSA-3h5v-q93c-6h6q', 'GHSA-5v72-xg48-5rpm', 'GHSA-6663-c963-2gqg', 'GHSA-6fc8-4gx4-v693', 'GHSA-mc23-976p-j42x']",src
sudheerj/reactjs-interview-questions,43354,10137,0,0,0,[],
NaiboWang/EasySpider,43214,5307,0,0,0,[],
Unitech/pm2,42654,2664,29,2,12,"['GHSA-fwr7-v2mv-hh25', 'GHSA-4x49-vf9v-38px', 'GHSA-9vvw-cc9w-f27h', 'GHSA-gxpj-cx7g-858c', 'MAL-2025-46974', 'GHSA-h2p3-h48h-9jj7', 'GHSA-hfq9-rfpv-j8r8', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q', 'GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx', 'GHSA-xxvw-45rp-3mj2']",root
yarnpkg/yarn,41542,2732,47,45,25,"['MAL-2025-46969', 'GHSA-4x49-vf9v-38px', 'GHSA-9vvw-cc9w-f27h', 'GHSA-gxpj-cx7g-858c', 'MAL-2025-46974', 'GHSA-qqgx-2p2h-9c37', 'GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx', 'GHSA-xxvw-45rp-3mj2', 'GHSA-952p-6rrq-rcjv', 'GHSA-px4h-xg32-q955', 'GHSA-8v63-cqqc-6r2c', 'GHSA-cwx2-736x-mf6w', 'GHSA-v39p-96qg-c8rf', 'GHSA-7xfp-9c55-5vqj', 'GHSA-p8p7-x288-28g6', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q', 'GHSA-325j-24f4-qv5x', 'GHSA-vx3p-948g-6vhq', 'MAL-2025-46980', 'GHSA-8cj5-5rvv-wf4v', 'GHSA-pq67-2wwv-3xjx', 'GHSA-vj76-c3g6-qr5v', 'GHSA-x2mc-8fgj-3wmr']",root
nolimits4web/swiper,41528,9730,0,0,0,[],
nwjs/nw.js,41413,3882,0,0,0,[],
dcloudio/uni-app,41199,3713,0,0,0,[],
remoteintech/remote-jobs,39427,3864,6,3,14,"['GHSA-4r62-v4vq-hr96', 'GHSA-5v2h-r2cx-5xgj', 'GHSA-7px7-7xjx-hxm8', 'GHSA-9cw2-jqp5-7x39', 'GHSA-cfjh-p3g4-3q2f', 'GHSA-ch52-vgq2-943f', 'GHSA-hjcp-j389-59ff', 'GHSA-p9wx-2529-fp83', 'GHSA-rrrm-qjm4-v8hf', 'GHSA-vfvf-mqq8-rwqc', 'GHSA-x5pg-88wf-qq4p', 'GHSA-xf5p-87ch-gxw2', 'GHSA-x565-32qp-m3vf', 'GHSA-2rq5-699j-x7p6']",root
videojs/video.js,39224,7523,12,68,1,['GHSA-968p-4wvh-cqc8'],root
Dogfalo/materialize,39135,4689,0,0,0,[],
phaserjs/phaser,38548,7123,1,21,0,[],root
impress/impress.js,38392,6636,0,0,0,[],
goabstract/Awesome-Design-Tools,38311,2164,2,6,3,"['GHSA-6vfc-qv3f-vr6c', 'GHSA-j5p7-jf4q-742q', 'GHSA-h6mq-3cj6-h738']",root
usebruno/bruno,38179,1938,0,0,0,[],
preactjs/preact,38110,2023,0,0,0,[],
naptha/tesseract.js,37421,2345,9,29,4,"['GHSA-p9w8-2mpq-49h9', 'GHSA-r683-j2x4-v87g', 'GHSA-vp56-6g26-6827', 'GHSA-w7rc-rwvf-8q5r']",root
denysdovhan/wtfjs,37366,2669,7,6,1,['MAL-2025-46969'],root
HeyPuter/puter,36952,3126,17,24,6,"['GHSA-28xh-wpgr-7fm8', 'GHSA-gcx4-mw62-g8wm', 'GHSA-28xr-mwxg-3qc8', 'GHSA-3f95-r44v-8mrg', 'GHSA-9p95-fxvg-qgq2', 'GHSA-9w5j-4mwv-2wj8']",root
ToolJet/ToolJet,36831,4860,2,6,2,"['GHSA-f29h-pxvx-f335', 'MAL-2025-6022']",root
markedjs/marked,35942,3499,0,0,0,[],
carbon-app/carbon,35772,1969,35,14,46,"['GHSA-42xw-2xvc-qx8m', 'GHSA-4hjh-wcwx-xvwj', 'GHSA-4w2v-q235-vp99', 'GHSA-8hc4-vh64-cxmj', 'GHSA-cph5-m8f7-6c5x', 'GHSA-jr5f-v2jv-69x6', 'GHSA-wf5p-g6vw-rhxx', 'GHSA-4gw3-8f77-f72c', 'GHSA-3wf4-68gx-mph8', 'GHSA-9pv7-vfvm-6vr7', 'GHSA-7wwv-vh3v-89cq', 'GHSA-vfrc-7r7c-w9mx', 'GHSA-3fx5-fwvr-xrjg', 'GHSA-w9mr-4mfr-499f', 'GHSA-223j-4rm8-mrmf', 'GHSA-25mp-g6fv-mqxx', 'GHSA-3f5c-4qxj-vmpf', 'GHSA-3h52-269p-cp9r', 'GHSA-4342-x723-ch2f', 'GHSA-5vj8-3v2h-h38v', 'GHSA-67rr-84xm-4c7r', 'GHSA-77r5-gw3j-2mpf', 'GHSA-7gfc-8cq8-jh5f', 'GHSA-7m27-7ghc-44w9', 'GHSA-9gr3-7897-pp7m', 'GHSA-c59h-r6p8-q9wc', 'GHSA-f82v-jwr5-mffw', 'GHSA-fmvm-x8mv-47mj', 'GHSA-fq54-2j52-jc42', 'GHSA-fq77-7p7r-83rj', 'GHSA-fr5h-rqp8-mj6g', 'GHSA-g5qg-72qw-gw5v', 'GHSA-g77x-44xx-532m', 'GHSA-gp8f-8m3g-qvj9', 'GHSA-m34x-wgrh-g897', 'GHSA-qpjv-v59x-3qc4', 'GHSA-qw96-mm2g-c8m7', 'GHSA-r2fc-ccr8-96c4', 'GHSA-vxf5-wxwp-m7g9', 'GHSA-wff4-fpwg-qqv3', 'GHSA-wr66-vrwm-5g5x', 'GHSA-x56p-c8cg-q435', 'GHSA-xv57-4mr9-wg8v', 'GHSA-g53w-52xc-2j85', 'GHSA-hg79-j56m-fxgv', 'GHSA-mvjj-gqq2-p4hw']",root
koajs/koa,35670,3223,18,5,1,['GHSA-9qj9-36jm-prpv'],root
upstash/context7,35531,1757,4,9,16,"['GHSA-3787-6prv-h9w3', 'GHSA-3cvr-822r-rqcc', 'GHSA-3g92-w8c5-73pq', 'GHSA-5r9g-qh6m-jxff', 'GHSA-8qr4-xgw6-wmr3', 'GHSA-9f24-jqhm-jfcw', 'GHSA-9qxr-qj54-h672', 'GHSA-c76h-2ccp-4975', 'GHSA-cxrh-j4jr-qwg3', 'GHSA-f772-66g8-q5h3', 'GHSA-m4v8-wqvr-p9f7', 'GHSA-pgw7-wx7w-2w33', 'GHSA-q768-x9m6-m9qp', 'GHSA-r6ch-mqf9-qc9w', 'GHSA-wqq4-5wpv-mx2g', 'GHSA-m95q-7qp3-xv42']",root
alvarotrigo/fullPage.js,35487,7227,0,0,0,[],
jondot/awesome-react-native,35450,4023,1,0,0,[],root
sahat/hackathon-starter,35131,8202,54,18,61,"['GHSA-6m59-8fmv-m5f9', 'GHSA-3mgp-fx93-9xv5', 'GHSA-3wqf-4x89-9g79', 'GHSA-4p24-vmcr-4gqj', 'GHSA-7mvr-5x2g-wfc8', 'GHSA-9v3m-8fp8-mj99', 'GHSA-ph58-4vrj-w6hr', 'GHSA-pj7m-g53m-7638', 'GHSA-q58r-hwc8-rm9j', 'GHSA-vxmc-5x29-h64v', 'GHSA-h68q-55jf-x68w', 'GHSA-cm5g-3pgc-8rg4', 'GHSA-gpvr-g6gh-9mc2', 'GHSA-jj78-5fmv-mv28', 'GHSA-qw6h-vgh9-j6wx', 'GHSA-rv95-896h-c2vc', 'GHSA-2pqj-h3vj-pqgw', 'GHSA-579v-mp3v-rrw5', 'GHSA-6c3j-c64m-qhgq', 'GHSA-gxr4-xjj5-5px2', 'GHSA-jpcq-cgw6-v4j6', 'GHSA-mhpp-875w-9cpv', 'GHSA-q4m3-2j7h-f7xw', 'GHSA-rmxg-73gg-4p98', 'GHSA-hc5w-c9f8-9cc4', 'GHSA-446m-mv8f-q348', 'GHSA-87vv-r9j6-g5qv', 'GHSA-8hfj-j24r-96c4', 'GHSA-wc69-rhjr-hc9g', 'GHSA-mh5c-679w-hh4r', 'GHSA-vxvm-qww3-2fh7', 'GHSA-8687-vv9j-hgph', 'GHSA-9m93-w8w6-76hh', 'GHSA-f825-f98c-gj3g', 'GHSA-h8hf-x3f4-xwgp', 'GHSA-m7xq-9374-9rvx', 'GHSA-r5xw-q988-826m', 'GHSA-vg7j-7cwx-8wgw', 'GHSA-gwg9-rgvj-4h5j', 'GHSA-44fp-w29j-9vj5', 'GHSA-4pg4-qvpc-4q3h', 'GHSA-fjgf-rc76-4x9p', 'GHSA-g5hg-p3ph-g8qg', 'GHSA-48ww-j4fc-435p', 'GHSA-9h6g-pr28-7cqp', 'GHSA-hwqf-gcqm-7353', 'GHSA-mm7p-fcc7-pg87', 'GHSA-v923-w3x8-wh69', 'GHSA-7jg2-jgv3-fmr4', 'GHSA-wgrm-67xf-hhpq', 'GHSA-3965-hpx2-q597', 'GHSA-p493-635q-r6gr', 'GHSA-552w-rqg8-gxxm', 'GHSA-79mx-88w7-8f7q', 'GHSA-9965-vmph-33xx', 'GHSA-f5w6-r7rg-mcgq', 'GHSA-q4qq-fm7q-cwp5', 'GHSA-qgmg-gppg-76g5', 'GHSA-qpjp-7rp2-9c3f', 'GHSA-rh6c-q938-3r9q', 'GHSA-xx4c-jj58-r7x6']",root
